BioSample,LibraryName,Run,fq1,fq2,refGenome,refPath
WT-DsimwRi-line5A,5a,1,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line5A-0123_S229_L002_R1_001.fastq.gz,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line5A-0123_S229_L002_R2_001.fastq.gz,dsim3_1strw501_wri_wmel,/private/groups/russelllab/cade/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line5B,5b,2,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line5B-0123_S230_L002_R1_001.fastq.gz,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line5B-0123_S230_L002_R2_001.fastq.gz,dsim3_1strw501_wri_wmel,/private/groups/russelllab/cade/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line6A,6a,3,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line6A-0123_S231_L002_R1_001.fastq.gz,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line6A-0123_S231_L002_R2_001.fastq.gz,dsim3_1strw501_wri_wmel,/private/groups/russelllab/cade/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line6B,6b,4,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line6B-0123_S232_L002_R1_001.fastq.gz,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line6B-0123_S232_L002_R2_001.fastq.gz,dsim3_1strw501_wri_wmel,/private/groups/russelllab/cade/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line7A,7a,5,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line7A-0123_S233_L002_R1_001.fastq.gz,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line7A-0123_S233_L002_R2_001.fastq.gz,dsim3_1strw501_wri_wmel,/private/groups/russelllab/cade/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line7B,7b,6,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line7B-0123_S234_L002_R1_001.fastq.gz,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line7B-0123_S234_L002_R2_001.fastq.gz,dsim3_1strw501_wri_wmel,/private/groups/russelllab/cade/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line8A,8a,7,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line8A-0123_S235_L002_R1_001.fastq.gz,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line8A-0123_S235_L002_R2_001.fastq.gz,dsim3_1strw501_wri_wmel,/private/groups/russelllab/cade/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line8B,8b,8,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line8B-0123_S236_L002_R1_001.fastq.gz,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line8B-0123_S236_L002_R1_001.fastq.gz,dsim3_1strw501_wri_wmel,/private/groups/russelllab/cade/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line5A,5a,9,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line5A-0123_S229_L003_R1_001.fastq.gz,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line5A-0123_S229_L003_R2_001.fastq.gz,dsim3_1strw501_wri_wmel,/private/groups/russelllab/cade/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line5B,5b,10,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line5B-0123_S230_L003_R1_001.fastq.gz,/private/groups/russelllab/cade/wolb-mix/data/reads/duke-9027-p15p18/Mirchandani_9027_240320A9/WT-DsimwRi-line5B-0123_S230_L003_R2_001.fastq.gz,dsim3_1strw501_wri_wmel,/private/groups/russelllab/cade/Dsim3.1strw501_wRi_wMel.fna
